epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3270.6,1.25404,1.55925,2.24783,0.00973,0.64568,0.49483,0.44683,0.40814,0.21361,0.47467,0.42462,0.38897,0.21475,1.76452,2.91438,4.14201,0.02049,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,3321.06,1.23913,1.55436,2.24592,0.00996,0.65423,0.47643,0.44872,0.41723,0.21059,0.45613,0.42606,0.37638,0.20974,1.75821,3.15956,4.47386,0.02042,0,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,3371.5,1.25172,1.57165,2.23187,0.00976,0.64081,0.49396,0.45048,0.43249,0.21268,0.43542,0.43492,0.37033,0.20813,1.77903,3.11312,4.42017,0.02097,0,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,3421.93,1.2351,1.54496,2.11915,0.00986,0.62364,0.47365,0.42837,0.40076,0.21156,0.44606,0.40265,0.3701,0.21089,1.78285,3.18215,4.3561,0.02121,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,3471.84,1.20708,1.47913,2.09123,0.0097,0.60952,0.41424,0.47259,0.40483,0.2133,0.40436,0.44967,0.37795,0.20315,1.75115,2.99532,4.49928,0.02053,0,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,3522.08,1.22881,1.53807,2.10529,0.00975,0.63851,0.46571,0.45682,0.42674,0.23281,0.45826,0.42682,0.39215,0.2282,1.7436,3.04158,4.63612,0.0208,0,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,60.724,1.23899,1.51445,1.22942,0.00987,0.62692,0.44292,0.38626,0.38016,0.19887,0.42301,0.33874,0.34296,0.19636,1.77189,2.97066,2.34155,0.02095,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,111.38,1.20845,1.44799,1.11708,0.0092,0.56334,0.50142,0.43496,0.40247,0.20936,0.45194,0.4329,0.37773,0.20923,1.78435,2.80458,2.41482,0.0212,0,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,162.425,1.22944,1.49828,1.19878,0.00991,0.63918,0.43434,0.42853,0.40355,0.22119,0.45181,0.44171,0.38377,0.22191,1.80815,2.91148,2.29997,0.02126,0,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,213.384,1.20206,1.4714,1.12189,0.00969,0.58535,0.45283,0.3925,0.37589,0.20589,0.49046,0.37534,0.35785,0.2034,1.76997,2.99288,2.34526,0.02073,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
